Model,Demand (vph/lane),Penetration Rate (%),Seeds Tested,Equivalent Hourly Throughput (veh/h),Raw Arrivals (veh),Mean Speed (m/s),Mean Travel Time (s),Collision Rate (%),Avg Near-Collisions,Avg TTC Violations,Avg Hard Braking,Acceleration Var (m/s^2),Mean Abs Jerk (m/s^3),Wave Intensity (Var),Raw Interventions (Sum),Interventions Per CAV,Duty Cycle (%),Mean Decel Magnitude (m/s^2),Mean Duration (s),Success Rate (%),Avg Max Queue (veh),Absolute Max Queue (veh),Mean Delay (s),90th-Percentile Delay (s)
RULE-CAV,1700,5,20,2674.8 ± 52.8,297.2 ± 5.9,8.31 ± 0.49,80.36 ± 3.55,0.00 ± 0.00,582.5 ± 67.5,1028.7 ± 83.9,1750.2 ± 225.1,1.3813 ± 0.0731,1.3457 ± 0.1121,11.47 ± 1.15,3115 ± 181,136.3 ± 7.9,14.07 ± 1.17,4.12 ± 0.03,0.90 ± 0.08,34.25 ± 3.99,29.85 ± 4.51,29.9 ± 4.5,54.54 ± 3.55,105.86 ± 7.55
RULE-CAV,1700,10,20,2531.2 ± 69.2,281.2 ± 7.7,6.90 ± 0.50,85.63 ± 3.63,0.00 ± 0.00,766.0 ± 70.4,1218.5 ± 88.0,1796.7 ± 163.1,1.4100 ± 0.0873,1.2005 ± 0.0833,8.68 ± 0.71,4821 ± 219,112.0 ± 4.6,10.85 ± 0.88,4.08 ± 0.02,1.04 ± 0.08,36.94 ± 4.13,35.50 ± 4.72,35.5 ± 4.7,60.10 ± 3.76,119.23 ± 8.95
RULE-CAV,1700,20,20,2387.7 ± 89.6,265.3 ± 10.0,5.75 ± 0.38,83.12 ± 3.36,0.00 ± 0.00,788.3 ± 40.7,1146.8 ± 44.2,1890.3 ± 123.8,1.4965 ± 0.0804,1.0742 ± 0.0583,6.85 ± 0.55,7782 ± 277,93.6 ± 2.6,8.57 ± 0.50,4.07 ± 0.02,1.25 ± 0.06,42.09 ± 4.51,47.90 ± 1.52,47.9 ± 1.5,58.50 ± 3.65,112.98 ± 9.43
SELFISH-CAV,800,5,20,1755.0 ± 6.5,195.0 ± 0.7,26.06 ± 0.56,30.49 ± 0.75,0.00 ± 0.00,4.3 ± 2.0,9.0 ± 4.7,100.5 ± 13.3,1.1754 ± 0.0674,0.5943 ± 0.0434,23.00 ± 2.40,299 ± 56,27.1 ± 5.1,9.36 ± 1.79,0.55 ± 0.12,4.49 ± 0.89,78.91 ± 4.78,0.25 ± 0.24,0.2 ± 0.2,6.91 ± 0.66,13.33 ± 2.36
SELFISH-CAV,800,10,20,1751.4 ± 7.5,194.6 ± 0.8,26.40 ± 0.42,30.07 ± 0.55,0.00 ± 0.00,3.9 ± 1.8,6.2 ± 2.4,82.7 ± 9.7,1.0867 ± 0.0542,0.5796 ± 0.0427,23.06 ± 2.91,571 ± 113,25.9 ± 5.1,9.03 ± 1.63,0.75 ± 0.13,4.17 ± 0.68,79.53 ± 3.83,0.30 ± 0.35,0.3 ± 0.4,6.49 ± 0.51,11.87 ± 2.32
SELFISH-CAV,800,20,20,1753.7 ± 7.5,194.8 ± 0.8,26.64 ± 0.29,29.67 ± 0.42,0.00 ± 0.00,3.6 ± 1.5,6.0 ± 2.4,72.7 ± 11.1,1.0260 ± 0.0477,0.5084 ± 0.0402,23.31 ± 2.93,1039 ± 153,24.2 ± 3.6,8.55 ± 1.20,0.65 ± 0.10,4.29 ± 0.43,83.59 ± 3.41,0.20 ± 0.18,0.2 ± 0.2,6.13 ± 0.40,10.61 ± 1.79
SELFISH-CAV,1700,5,20,2953.8 ± 58.4,328.2 ± 6.5,11.49 ± 0.69,62.96 ± 3.49,0.00 ± 0.00,172.8 ± 29.7,368.5 ± 43.3,504.8 ± 20.1,1.1283 ± 0.0554,0.8608 ± 0.0507,23.07 ± 3.10,4337 ± 211,189.0 ± 9.3,28.95 ± 1.29,0.93 ± 0.05,6.64 ± 0.40,25.22 ± 5.07,24.05 ± 5.85,24.1 ± 5.8,37.25 ± 3.46,88.87 ± 11.30
SELFISH-CAV,1700,10,20,2944.8 ± 66.0,327.2 ± 7.3,11.32 ± 0.84,64.30 ± 3.71,0.00 ± 0.00,184.6 ± 24.3,399.6 ± 41.4,503.4 ± 26.7,1.1477 ± 0.0580,0.8075 ± 0.0537,22.35 ± 3.16,9211 ± 506,206.5 ± 12.1,30.10 ± 0.85,0.92 ± 0.04,6.58 ± 0.25,25.45 ± 5.43,21.00 ± 6.27,21.0 ± 6.3,38.42 ± 3.61,87.16 ± 9.32
SELFISH-CAV,1700,20,20,3073.5 ± 61.4,341.5 ± 6.8,12.76 ± 1.01,59.19 ± 3.38,0.00 ± 0.00,166.8 ± 24.6,348.4 ± 40.9,484.6 ± 22.8,1.2323 ± 0.0490,0.8228 ± 0.0607,26.32 ± 3.42,16821 ± 1099,186.9 ± 12.2,30.40 ± 0.83,0.95 ± 0.03,6.62 ± 0.23,32.09 ± 6.63,19.25 ± 4.06,19.2 ± 4.1,33.18 ± 3.36,78.06 ± 10.09
TRAFFIC SHEPHERD,800,5,20,1755.5 ± 6.6,195.1 ± 0.7,26.04 ± 0.53,30.50 ± 0.71,0.00 ± 0.00,4.3 ± 1.6,8.8 ± 3.8,99.5 ± 13.2,1.1744 ± 0.0572,0.5962 ± 0.0456,26.12 ± 1.31,310 ± 51,28.2 ± 4.6,9.49 ± 1.55,0.81 ± 0.15,3.88 ± 0.98,78.75 ± 4.61,0.27 ± 0.09,3.5 ± 0.7,6.90 ± 0.60,13.34 ± 2.26
TRAFFIC SHEPHERD,800,10,20,1753.2 ± 7.4,194.8 ± 0.8,26.21 ± 0.45,30.27 ± 0.62,0.00 ± 0.00,4.5 ± 1.9,7.4 ± 3.0,92.2 ± 13.9,1.1232 ± 0.0612,0.6044 ± 0.0522,25.60 ± 1.09,681 ± 130,31.0 ± 5.9,10.57 ± 1.82,0.98 ± 0.16,2.64 ± 0.82,79.06 ± 4.31,0.22 ± 0.09,3.5 ± 0.5,6.68 ± 0.59,12.49 ± 2.40
TRAFFIC SHEPHERD,800,20,20,1754.1 ± 7.7,194.9 ± 0.9,26.51 ± 0.30,29.87 ± 0.42,0.00 ± 0.00,3.4 ± 1.5,5.8 ± 2.5,81.6 ± 9.9,1.0388 ± 0.0490,0.5617 ± 0.0368,24.84 ± 1.09,1176 ± 165,27.4 ± 3.8,9.49 ± 1.25,0.89 ± 0.11,1.98 ± 0.55,83.44 ± 3.42,0.16 ± 0.05,3.3 ± 0.6,6.21 ± 0.40,10.87 ± 1.81
TRAFFIC SHEPHERD,1700,5,20,2962.3 ± 71.4,329.1 ± 7.9,11.59 ± 0.80,62.47 ± 3.21,0.00 ± 0.00,168.4 ± 22.2,365.1 ± 43.7,538.6 ± 30.3,1.1510 ± 0.0634,0.9353 ± 0.0631,32.51 ± 1.16,4553 ± 369,198.3 ± 15.8,29.52 ± 1.02,0.97 ± 0.04,2.03 ± 0.19,26.49 ± 5.29,11.89 ± 1.74,36.7 ± 2.7,36.75 ± 3.17,87.41 ± 9.51
TRAFFIC SHEPHERD,1700,10,20,2953.8 ± 72.4,328.2 ± 8.0,11.53 ± 0.97,63.17 ± 4.09,0.09 ± 0.19,193.4 ± 31.5,403.2 ± 55.3,500.8 ± 25.5,1.1354 ± 0.0669,0.8657 ± 0.0581,32.80 ± 1.43,8962 ± 535,200.6 ± 12.3,29.67 ± 0.79,0.95 ± 0.03,2.50 ± 0.14,24.18 ± 6.27,12.08 ± 1.52,36.0 ± 2.0,37.29 ± 3.95,86.87 ± 11.67
TRAFFIC SHEPHERD,1700,20,20,3025.3 ± 95.5,336.1 ± 10.6,12.59 ± 1.37,60.22 ± 4.61,0.00 ± 0.00,177.4 ± 39.6,371.1 ± 65.1,491.8 ± 28.5,1.1802 ± 0.0717,0.8553 ± 0.0737,32.12 ± 1.52,16355 ± 1384,183.6 ± 16.2,29.30 ± 1.23,0.98 ± 0.03,2.57 ± 0.19,31.27 ± 8.03,10.25 ± 2.07,32.9 ± 4.6,34.33 ± 4.42,82.22 ± 12.99
